discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name,country_code,country_3_letter_code,year,olympic_location,participant_title_cleaned
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Stefania CONSTANTINI,Italy,IT,ITA,2022,beijing,Italy
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Amos MOSANER,Italy,IT,ITA,2022,beijing,Italy
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Kristin SKASLIEN,Norway,NO,NOR,2022,beijing,Norway
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Magnus NEDREGOTTEN,Norway,NO,NOR,2022,beijing,Norway
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Almida DE VAL,Sweden,SE,SWE,2022,beijing,Sweden
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Oskar ERIKSSON,Sweden,SE,SWE,2022,beijing,Sweden
Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,NA,Great Britain,GB,GBR,2022,beijing,Great Britain
Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,NA,Japan,JP,JPN,2022,beijing,Japan
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,NA,Sweden,SE,SWE,2022,beijing,Sweden
Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,NA,Sweden,SE,SWE,2022,beijing,Sweden
Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,NA,Great Britain,GB,GBR,2022,beijing,Great Britain
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,NA,Canada,CA,CAN,2022,beijing,Canada
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,NA,Mikael KINGSBURY,Canada,CA,CAN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,NA,Walter WALLBERG,Sweden,SE,SWE,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,NA,Ikuma HORISHIMA,Japan,JP,JPN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,NA,Nico PORTEOUS,New Zealand,NZ,NZL,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,NA,David WISE,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,NA,Alex FERREIRA,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,NA,Henrik HARLAUT,Sweden,SE,SWE,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,NA,Birk RUUD,Norway,NO,NOR,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,NA,Colby STEVENSON,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,NA,Sergey RIDZIK,ROC,ROC,ROC,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,NA,Alex FIVA,Switzerland,CH,SUI,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,NA,Ryan REGEZ,Switzerland,CH,SUI,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,NA,Mathilde GREMAUD,Switzerland,CH,SUI,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,NA,Ailing Eileen GU,People's Republic of China,CN,CHN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,NA,Tess LEDEUX,France,FR,FRA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,NA,Jaelin KAUF,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,NA,Jakara ANTHONY,Australia,AU,AUS,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,NA,Anastasiia SMIRNOVA,ROC,ROC,ROC,2022,beijing,NA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,NA,United States of America,US,USA,2022,beijing,United States
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,NA,People's Republic of China,CN,CHN,2022,beijing,China
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,NA,Canada,CA,CAN,2022,beijing,Canada
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,NA,Marielle THOMPSON,Canada,CA,CAN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,NA,Sandra NAESLUND,Sweden,SE,SWE,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,NA,Daniela MAIER,Germany,DE,GER,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,NA,Ilia BUROV,ROC,ROC,ROC,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,NA,Guangpu QI,People's Republic of China,CN,CHN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,NA,Oleksandr ABRAMENKO,Ukraine,UA,UKR,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,NA,Hanna HUSKOVA,Belarus,BY,BLR,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,NA,Mengtao XU,People's Republic of China,CN,CHN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,NA,Megan NICK,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,NA,Cassie SHARPE,Canada,CA,CAN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,NA,Ailing Eileen GU,People's Republic of China,CN,CHN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,NA,Rachel KARKER,Canada,CA,CAN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,NA,Ailing Eileen GU,People's Republic of China,CN,CHN,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,NA,Mathilde GREMAUD,Switzerland,CH,SUI,2022,beijing,NA
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,NA,Kelly SILDARU,Estonia,EE,EST,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,NA,Nicholas GOEPPER,United States of America,US,USA,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,NA,Jesper TJADER,Sweden,SE,SWE,2022,beijing,NA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,NA,Alexander HALL,United States of America,US,USA,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,NA,Suzanne SCHULTING,Netherlands,NL,NED,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,NA,Kim BOUTIN,Canada,CA,CAN,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,NA,Arianna FONTANA,Italy,IT,ITA,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,NA,Steven DUBOIS,Canada,CA,CAN,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,NA,Shaoang LIU,Hungary,HU,HUN,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,NA,Konstantin IVLIEV,ROC,ROC,ROC,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,NA,Canada,CA,CAN,2022,beijing,Canada
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,Republic of Korea,NA,Republic of Korea,KR,KOR,2022,beijing,Republic of Korea
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,NA,Italy,IT,ITA,2022,beijing,Italy
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,People's Republic of China,NA,People's Republic of China,CN,CHN,2022,beijing,People s Republic of China
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Italy,NA,Italy,IT,ITA,2022,beijing,Italy
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Hungary,NA,Hungary,HU,HUN,2022,beijing,Hungary
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,NA,Semen ELISTRATOV,ROC,ROC,ROC,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,NA,Daeheon HWANG,Republic of Korea,KR,KOR,2022,beijing,NA
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,NA,Steven DUBOIS,Canada,CA,CAN,2022,beijing,NA
